[05/07/2009 12:29:33] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:31:09] /b <quando entrar mais 10 players vo faze um evento mais nao vai ser de matar bixo mais sim de achar itens>
[05/07/2009 12:32:02] /a 5
[05/07/2009 12:32:08] /a 20
[05/07/2009 12:32:12] /a 20
[05/07/2009 12:32:32] /a 
[05/07/2009 12:32:38] /a 5
[05/07/2009 16:30:00] /i Blessed Shield
[05/07/2009 16:30:07] /i Crystal Coin
[05/07/2009 16:30:13] /i Crystal Coin
[05/07/2009 16:30:18] /i Golden Boots
[05/07/2009 16:30:19] /i Golden Boots
[05/07/2009 16:32:41] /i Dragon scale Legs
[05/07/2009 16:35:34] /i Dragon scale Legs
[05/07/2009 16:35:39] /i Dragon scale Legs
[05/07/2009 16:35:49] /i Dragon scale Legs
[05/07/2009 16:35:52] /i Dragon scale Legs
[05/07/2009 16:35:55] /i Dragon scale Legs
[05/07/2009 16:36:00] /i Dragon scale Legs
[05/07/2009 16:36:02] /i Dragon scale Legs
[05/07/2009 16:36:05] /i Dragon scale Legs
[05/07/2009 16:36:11] /i Dragon scale Legs
[05/07/2009 16:36:15] /i Dragon scale Legs
[05/07/2009 16:36:19] /i Dragon scale Legs
[05/07/2009 16:36:22] /i Dragon scale Legs
[05/07/2009 16:36:30] /down
[05/07/2009 16:36:31] /down
[05/07/2009 16:36:46] /up
[05/07/2009 16:36:46] /up
[05/07/2009 16:36:52] /i Dragon scale Legs
[05/07/2009 16:36:55] /i Dragon scale Legs
[05/07/2009 16:36:59] /i Demon Legs
[05/07/2009 16:37:02] /i Demon Legs
[05/07/2009 16:37:05] /i Demon Legs
[05/07/2009 16:37:08] /i Demon Legs
[05/07/2009 16:37:11] /i Demon Legs
[05/07/2009 16:37:17] /i Demon Legs
[05/07/2009 16:37:21] /i Demon Legs
[05/07/2009 16:37:29] /i Demon Legs
[05/07/2009 16:37:34] /i Demon Legs
[05/07/2009 16:37:42] /i Golden Legs
[05/07/2009 16:37:46] /i Golden Legs
[05/07/2009 16:37:54] /i Golden Legs
[05/07/2009 16:38:37] /i Golden helmet
[05/07/2009 16:38:59] /i Crystal Coin
[05/07/2009 16:39:02] /i Crystal Coin
[05/07/2009 16:39:05] /i Crystal Coin
[05/07/2009 16:39:09] /i Golden helmet
[05/07/2009 16:39:14] /i Golden helmet
[05/07/2009 16:39:21] /i Crystal Coin
[05/07/2009 16:39:25] /i Crystal Coin
[05/07/2009 16:39:30] /i Crystal Coin
[05/07/2009 16:39:33] /i Crystal Coin
[05/07/2009 16:39:38] /i Crystal Coin
[05/07/2009 16:39:41] /i Crystal Coin
[05/07/2009 16:39:45] /i Crystal Coin
[05/07/2009 16:39:49] /i Crystal Coin
[05/07/2009 16:39:50] /i Crystal Coin
[05/07/2009 16:39:52] /i Crystal Coin
[05/07/2009 16:39:54] /i Crystal Coin
[05/07/2009 16:39:57] /i Crystal Coin
[05/07/2009 16:39:59] /i Crystal Coin
[05/07/2009 16:40:08] /i Golden helmet
[05/07/2009 16:40:30] /i Crystal Coin
[05/07/2009 16:40:34] /i Crystal Coin
[05/07/2009 16:40:35] /i Crystal Coin
[05/07/2009 16:40:39] /i Crystal Coin
[05/07/2009 16:40:44] /i Crystal Coin
[05/07/2009 16:40:46] /i Crystal Coin
[05/07/2009 16:40:48] /i Crystal Coin
[05/07/2009 16:40:50] /i Crystal Coin
[05/07/2009 16:40:53] /i Crystal Coin
[05/07/2009 16:40:55] /i Crystal Coin
[05/07/2009 16:40:57] /i Crystal Coin
[05/07/2009 16:41:03] /i Dragon scale Helmet
[05/07/2009 16:41:05] /i Dragon scale Helmet
[05/07/2009 16:41:08] /i Dragon scale Helmet
[05/07/2009 16:41:10] /i Dragon scale Helmet
[05/07/2009 16:41:12] /i Dragon scale Helmet
[05/07/2009 16:41:13] /i Dragon scale Helmet
[05/07/2009 16:41:15] /i Dragon scale Helmet
[05/07/2009 16:41:18] /i Dragon scale Helmet
[05/07/2009 16:41:20] /i Dragon scale Helmet
[05/07/2009 16:41:21] /i Dragon scale Helmet
[05/07/2009 16:41:24] /i Dragon scale Helmet
[05/07/2009 16:41:26] /i Dragon scale Helmet
[05/07/2009 16:41:29] /i Dragon scale Helmet
[05/07/2009 16:41:32] /a 
[05/07/2009 16:41:34] /a 
[05/07/2009 16:41:38] /i Dragon scale Helmet
[05/07/2009 16:41:40] /i Dragon scale Helmet
[05/07/2009 16:41:42] /i Demon helmet
[05/07/2009 16:41:45] /i Demon helmet
[05/07/2009 16:41:47] /i Demon helmet
[05/07/2009 16:41:50] /i Demon helmet
[05/07/2009 16:41:52] /i Demon helmet
[05/07/2009 16:41:54] /i Demon helmet
[05/07/2009 16:41:56] /i Demon helmet
[05/07/2009 16:41:59] /i Demon helmet
[05/07/2009 16:42:01] /i Demon helmet
[05/07/2009 16:43:11] /i blessed Armor
[05/07/2009 16:43:25] /i Slayer Armor
[05/07/2009 16:43:38] /i 
[05/07/2009 16:43:42] /i Demon helmet
[05/07/2009 16:44:28] /r
[05/07/2009 16:44:33] /i Demon Armor
[05/07/2009 16:44:38] /i Demon Armor
[05/07/2009 16:44:43] /i Demon Armor
[05/07/2009 16:44:47] /i Demon Armor
[05/07/2009 16:44:51] /i Demon Armor
[05/07/2009 16:44:55] /i Demon Armor
[05/07/2009 16:45:00] /i Demon Armor
[05/07/2009 16:45:02] /i Demon Armor
[05/07/2009 16:45:06] /i Demon Armor
[05/07/2009 16:45:10] /i Demon Armor
[05/07/2009 16:45:16] /i Demon Armor
[05/07/2009 16:45:20] /i Demon Armor
[05/07/2009 16:45:25] /i Demon Armor
[05/07/2009 16:45:42] /b alguém aki joga em pythera soh pra saber fala help
[05/07/2009 16:46:15] /i Demon Armor
[05/07/2009 16:46:20] /i Demon Armor
[05/07/2009 16:46:23] /i Demon Armor
[05/07/2009 16:46:27] /i Magic Plate Armor
[05/07/2009 16:46:32] /i Magic Plate Armor
[05/07/2009 16:46:37] /i Magic Plate Armor
[05/07/2009 16:46:41] /i Magic Plate Armor
[05/07/2009 16:46:44] /i Magic Plate Armor
[05/07/2009 16:46:47] /i Magic Plate Armor
[05/07/2009 16:46:51] /i Magic Plate Armor
[05/07/2009 16:46:55] /i Magic Plate Armor
[05/07/2009 16:46:59] /i Magic Plate Armor
[05/07/2009 16:47:09] /i Magic Plate Armor
[05/07/2009 16:48:03] /i blue robe
[05/07/2009 16:48:06] /i blue robe
[05/07/2009 16:48:14] /i Crystal Coin
[05/07/2009 16:48:17] /i Crystal Coin
[05/07/2009 16:48:19] /i Crystal Coin
[05/07/2009 16:48:23] /i Crystal Coin
[05/07/2009 16:49:40] /t
[05/07/2009 16:49:45] /a 5
[05/07/2009 16:49:54] /a 5
[05/07/2009 16:50:01] /a 5
[05/07/2009 16:50:03] /a 5
[05/07/2009 16:50:06] /a 5
[05/07/2009 16:50:11] /a 5
[05/07/2009 16:50:14] /a 5
[05/07/2009 16:50:16] /a 5
[05/07/2009 16:50:26] /a 5
[05/07/2009 16:54:38] /a 5
[05/07/2009 16:54:45] /a 5
[05/07/2009 16:54:48] /a 5
[05/07/2009 16:54:51] /a 5
[05/07/2009 16:54:53] /a 5
[05/07/2009 16:54:57] /up
[05/07/2009 16:54:59] /up
[05/07/2009 16:56:22] /i scarab coin
[05/07/2009 16:56:31] /i scarab coin
[05/07/2009 16:56:33] /i scarab coin
[05/07/2009 16:56:35] /i scarab coin
[05/07/2009 16:56:37] /i scarab coin
[05/07/2009 16:56:39] /i scarab coin
[05/07/2009 16:56:41] /i scarab coin
[05/07/2009 16:56:45] /i scarab coin
[05/07/2009 16:56:47] /i scarab coin
[05/07/2009 16:56:50] /i scarab coin
[05/07/2009 16:57:12] /i scarab coin
[05/07/2009 16:57:18] /i scarab coin
[05/07/2009 16:57:19] /i scarab coin
[05/07/2009 16:57:24] /i scarab coin
[05/07/2009 16:57:58] /i scarab coin
[05/07/2009 16:58:17] /i Platinum Coin
[05/07/2009 16:58:20] /i Platinum Coin
[05/07/2009 16:58:24] /i Platinum Coin
[05/07/2009 16:58:26] /i Platinum Coin
[05/07/2009 16:58:30] /i Platinum Coin
[05/07/2009 16:58:32] /i Platinum Coin
[05/07/2009 16:58:34] /i Platinum Coin
[05/07/2009 16:58:36] /i Platinum Coin
[05/07/2009 16:58:40] /i Platinum Coin
[05/07/2009 16:58:43] /i Platinum Coin
[05/07/2009 16:59:07] /b quem souber o nome de uma rod q soula gelo ganhará 1kk
[05/07/2009 16:59:30] /i hailstorm rod
[05/07/2009 17:00:09] /b lion ganhou
[05/07/2009 17:00:37] /i hailstorm rod
[05/07/2009 17:01:02] /i Avenger
[05/07/2009 17:01:05] /i Avenger
[05/07/2009 17:01:07] /i Avenger
[05/07/2009 17:01:10] /i Avenger
[05/07/2009 17:01:14] /i Avenger
[05/07/2009 17:01:17] /i Avenger
[05/07/2009 17:01:19] /i Avenger
[05/07/2009 17:01:22] /i Avenger
[05/07/2009 17:01:24] /i Avenger
[05/07/2009 17:01:26] /i Avenger
[05/07/2009 17:03:25] /i wand of draconia
[05/07/2009 17:03:28] /i wand of draconia
[05/07/2009 17:03:31] /i wand of draconia
[05/07/2009 17:03:35] /i wand of draconia
[05/07/2009 17:03:41] /i wand of draconia
[05/07/2009 17:03:44] /i wand of draconia
[05/07/2009 17:03:48] /i wand of draconia
[05/07/2009 17:03:52] /i wand of draconia
[05/07/2009 17:03:57] /i wand of draconia
[05/07/2009 17:04:00] /i wand of draconia
[05/07/2009 17:04:06] /i wand of draconia
[05/07/2009 17:04:12] /i wand of draconia
[05/07/2009 17:05:25] /i wand of draconia
[05/07/2009 17:05:29] /i wand of draconia
[05/07/2009 17:05:36] /i wand of draconia
[05/07/2009 17:05:41] /i wand of draconia
[05/07/2009 17:05:49] /down
[05/07/2009 17:05:52] /down
[05/07/2009 17:05:56] /down
[05/07/2009 17:06:27] /i Amulet Of Loss
[05/07/2009 17:06:31] /i Amulet Of Loss
[05/07/2009 17:06:36] /i Amulet Of Loss
[05/07/2009 17:06:38] /i Amulet Of Loss
[05/07/2009 17:06:42] /i Amulet Of Loss
[05/07/2009 17:06:44] /i Amulet Of Loss
[05/07/2009 17:06:47] /i Amulet Of Loss
[05/07/2009 17:06:51] /i Amulet Of Loss
[05/07/2009 17:06:55] /i Amulet Of Loss
[05/07/2009 17:06:58] /i Amulet Of Loss
[05/07/2009 17:07:01] /i Amulet Of Loss
[05/07/2009 17:07:04] /i Amulet Of Loss
[05/07/2009 17:07:07] /i Amulet Of Loss
[05/07/2009 17:07:10] /i Amulet Of Loss
[05/07/2009 17:07:14] /i Amulet Of Loss
[05/07/2009 17:07:18] /i Amulet Of Loss
[05/07/2009 17:07:21] /i Amulet Of Loss
[05/07/2009 17:07:24] /i Amulet Of Loss
[05/07/2009 17:07:27] /i Amulet Of Loss
[05/07/2009 17:07:29] /i Amulet Of Loss
[05/07/2009 17:07:31] /i Amulet Of Loss
[05/07/2009 17:07:35] /i Amulet Of Loss
[05/07/2009 17:07:38] /i Amulet Of Loss
[05/07/2009 17:07:42] /i Amulet Of Loss
[05/07/2009 17:07:45] /i Amulet Of Loss
[05/07/2009 17:08:43] /goto dark torture
[05/07/2009 17:09:12] /goto hellfire fighter
[05/07/2009 17:10:11] /t
[05/07/2009 17:10:19] /goto hellfire fighter
[05/07/2009 17:10:44] /m gozzler
[05/07/2009 17:10:53] /a 5
[05/07/2009 17:11:03] /m gozzler
[05/07/2009 17:12:23] /a 5
[05/07/2009 17:12:38] /a 5
[05/07/2009 17:12:42] /a 5
[05/07/2009 17:12:58] /m spirit of heart
[05/07/2009 17:13:05] /a 5
[05/07/2009 17:13:10] /a 5
[05/07/2009 17:14:00] /a 
[05/07/2009 17:14:07] /a 5
[05/07/2009 17:14:36] /a 20
[05/07/2009 17:14:40] /a 20
[05/07/2009 17:14:47] /a 20
[05/07/2009 17:14:50] /a 20
[06/07/2009 14:14:56] /t
[06/07/2009 14:15:34] /b Qm quer evento fala no Help
[06/07/2009 14:16:51] /i demon backpack
[06/07/2009 14:17:08] /i backpack of holding
[06/07/2009 14:17:16] /i crystal coin
[06/07/2009 14:17:43] /ghost
[06/07/2009 14:24:13] /b evento la ond os cara tira pvp venham
[06/07/2009 14:24:24] /a 1
[06/07/2009 14:24:25] /a 1
[06/07/2009 14:24:28] /a 1
[06/07/2009 14:24:29] /a 1
[06/07/2009 14:25:14] /ghost
[06/07/2009 14:25:32] /b qm quiser evento vem ond os cara tira pvp
[06/07/2009 14:25:49] /b se alguém quiser fala help q eu puxo
[06/07/2009 14:26:15] /c Elite Skazy
[06/07/2009 14:26:27] /c Sir darkbruts
[06/07/2009 14:26:46] /a 5
[06/07/2009 14:28:45] /c Clix zaro
[06/07/2009 14:28:57] /a 5
[06/07/2009 14:28:59] /c Clix zaro
[06/07/2009 14:29:01] /a 5
[06/07/2009 14:30:02] /c Sir darkbruts
[06/07/2009 14:30:12] /c Elite Skazy
[06/07/2009 14:30:17] /c Elite Skazy
[06/07/2009 14:31:14] /ghost
[06/07/2009 14:32:51] /c Clix zaro
[06/07/2009 14:34:54] /m orshabaal agora ele ataca
[06/07/2009 14:35:02] /m orshabaal
[06/07/2009 14:36:13] /i blessed shield
[06/07/2009 14:36:59] /b ae gente vo esconde uma demon backpack na city qm acha eh dele
[06/07/2009 14:37:29] /i Dead Human
[06/07/2009 14:37:32] /i Dead Human
[06/07/2009 14:37:36] /i Dead Human
[06/07/2009 14:37:44] /c Noiadinhaa
[06/07/2009 14:38:00] /c Paladin Of The Sky
[06/07/2009 14:38:10] /c Elite Skazy
[06/07/2009 14:38:19] /i Dead Human
[06/07/2009 14:38:22] /i Dead Human
[06/07/2009 14:38:23] /i Dead Human
[06/07/2009 14:38:24] /i Dead Human
[06/07/2009 14:38:26] /i Dead Human
[06/07/2009 14:38:27] /i Dead Human
[06/07/2009 14:38:28] /i Dead Human
[06/07/2009 14:38:36] /b perto do templo
[06/07/2009 14:39:09] /i bag
[06/07/2009 14:39:17] /a 10
[06/07/2009 14:39:18] /a 10
[06/07/2009 14:39:21] /a 10
[06/07/2009 14:39:23] /a 10
[06/07/2009 14:39:26] /a 5
[06/07/2009 14:39:51] /down
[06/07/2009 14:39:57] /up
[06/07/2009 14:39:59] /up
[06/07/2009 14:40:04] /down
[06/07/2009 14:40:05] /down
[06/07/2009 14:40:05] /down
[06/07/2009 14:40:39] /i 10025
[06/07/2009 14:40:42] /i 10025
[06/07/2009 14:41:08] /b vcs sabem ond eh minha casa ta la pelos lados
[06/07/2009 14:41:21] /i bag
[06/07/2009 14:42:20] /b ta entre arvores amarelas
[06/07/2009 14:42:33] /b ta debaixo arvores amarelas
[06/07/2009 14:43:11] /b e arvores verdes perto do templo
[06/07/2009 14:43:25] /b qm axa fala private
[06/07/2009 14:44:18] /i bag
[06/07/2009 14:44:37] /b  certeza ?
[06/07/2009 14:44:56] /b ghost
[06/07/2009 14:45:04] /ghost
[06/07/2009 14:45:15] /b venhaum aki do lado do templo
[06/07/2009 14:45:32] /b vo tacar qm pegar eh dele
[06/07/2009 14:45:40] /a 2
[06/07/2009 14:45:45] /a 2
[06/07/2009 14:45:54] /b vo tacar
[06/07/2009 14:46:40] /goto Noiadinhaa
[06/07/2009 14:47:30] /a 10
[06/07/2009 14:47:32] /a 10
[06/07/2009 14:47:34] /a 10
[06/07/2009 14:47:36] /a 10
[06/07/2009 14:47:38] /a 10
[06/07/2009 14:47:40] /a 10
[06/07/2009 14:47:44] /a 1
[06/07/2009 14:47:56] /goto
[06/07/2009 14:48:00] /goto Noiadinhaa
[06/07/2009 14:48:10] /i 10025
[06/07/2009 14:48:51] /up
[06/07/2009 14:49:00] /up
[06/07/2009 14:49:19] /b outro evento qm me acha ganha
[06/07/2009 14:49:27] /b 1kk
[06/07/2009 14:49:41] /b to perto da casa da noiadinhaa
[06/07/2009 14:49:50] /b dos lados
[06/07/2009 14:50:20] /b evento parado por 10min
[06/07/2009 14:50:27] /b AFK POR 10
[06/07/2009 14:51:28] /ghost
[06/07/2009 14:51:29] /t
[06/07/2009 14:51:47] /ghost
[06/07/2009 14:51:51] /b AFK
[06/07/2009 15:06:36] /goto rei comedinha
[06/07/2009 15:06:51] /goto rei comedinha
[06/07/2009 15:10:31] /m exp bug
[06/07/2009 15:46:46] /t
[06/07/2009 15:47:00] /b voltei gente
[06/07/2009 15:48:53] /a 1
[06/07/2009 15:48:53] /a 1
[06/07/2009 15:48:53] /a 1
[06/07/2009 15:48:56] /a 1
[06/07/2009 15:48:58] /a 1
[06/07/2009 15:49:01] /a 1
[06/07/2009 15:49:01] /a 1
[06/07/2009 15:49:07] /a 1
[06/07/2009 15:49:11] /a 1
[06/07/2009 15:49:49] /goto serpente swanp
[06/07/2009 15:50:01] /goto green human
[06/07/2009 15:50:17] /goto rei comedinha
[06/07/2009 15:50:20] /ghost
[06/07/2009 15:51:47] /t
[06/07/2009 15:52:52] /ghost
[06/07/2009 15:53:04] /a 1
[06/07/2009 15:53:06] /a 1
[06/07/2009 15:53:06] /a 1
[06/07/2009 15:53:07] /a 1
[06/07/2009 15:53:07] /a 1
[06/07/2009 15:53:07] /a 1
[06/07/2009 15:53:07] /a 1
[06/07/2009 15:53:07] /a 1
[06/07/2009 15:53:12] /a 1
[06/07/2009 15:53:12] /a 1
[06/07/2009 15:53:12] /a 1
[06/07/2009 15:53:12] /a 1
[06/07/2009 15:53:13] /a 1
[06/07/2009 15:53:16] /a 1
[06/07/2009 15:53:57] /a 20
[06/07/2009 15:54:48] /a 15
[06/07/2009 15:54:50] /a 15
[06/07/2009 15:54:52] /a 15
[06/07/2009 15:54:55] /a 15
[06/07/2009 15:55:01] /a 15
[06/07/2009 15:55:02] /a 15
[06/07/2009 15:55:04] /a 15
[06/07/2009 15:55:07] /a 15
[06/07/2009 15:55:12] /a 15
[06/07/2009 15:55:12] /a 15
[06/07/2009 15:55:13] /a 15
[06/07/2009 15:55:13] /a 15
[06/07/2009 15:55:13] /a 15
[06/07/2009 15:55:13] /a 15
[06/07/2009 15:55:20] /a 10
[06/07/2009 15:55:28] /a 10
[06/07/2009 15:55:33] /a 10
[06/07/2009 15:55:36] /a 10
[06/07/2009 15:55:39] /a 10
[06/07/2009 15:55:42] /a 10
[06/07/2009 15:57:01] /a 15
[06/07/2009 15:57:04] /a 15
[06/07/2009 15:57:10] /a 15
[06/07/2009 15:58:21] /a 15
[06/07/2009 15:58:21] /a 15
[06/07/2009 15:58:21] /a 15
[06/07/2009 15:58:25] /a 15
[06/07/2009 15:58:30] /a 15
[06/07/2009 15:58:33] /a 15
[06/07/2009 15:58:34] /a 15
[06/07/2009 15:58:34] /a 15
[06/07/2009 15:58:34] /a 15
[06/07/2009 15:58:34] /a 15
[06/07/2009 15:58:39] /a 15
[06/07/2009 15:58:42] /a 15
[06/07/2009 15:58:45] /a 15
[06/07/2009 15:58:53] /a 1
[06/07/2009 15:58:56] /a 10
[06/07/2009 15:58:58] /a 10
[06/07/2009 15:59:03] /a 5
[06/07/2009 15:59:06] /a 5
[06/07/2009 15:59:20] /up
[06/07/2009 15:59:23] /up
[06/07/2009 15:59:32] /m orshabaal
[06/07/2009 16:00:05] /i Slayer Axe
[06/07/2009 16:01:19] /b olha O Clean
[06/07/2009 16:01:22] /clean all
[06/07/2009 16:01:28] /clean
[06/07/2009 16:01:45] /down
[06/07/2009 16:01:57] /down
[06/07/2009 16:02:11] /a 10
[06/07/2009 16:02:30] /a 10
[06/07/2009 16:02:35] /up
[06/07/2009 16:03:25] /a 10
[06/07/2009 16:05:25] /a 20
[06/07/2009 16:05:47] /up
[06/07/2009 16:05:53] /a 20
[06/07/2009 16:05:59] /a 5
[06/07/2009 16:06:02] /a 5
[06/07/2009 16:06:08] /a 2
[06/07/2009 16:06:20] /down
[06/07/2009 16:06:24] /a 2
[06/07/2009 16:06:28] /a 1
[06/07/2009 16:06:34] /a 1
[06/07/2009 16:06:44] /down
[06/07/2009 16:06:51] /a 20
[06/07/2009 16:06:55] /a 20
[06/07/2009 16:07:05] /down
[06/07/2009 16:07:10] /a 5
[06/07/2009 16:07:15] /a 5
[06/07/2009 16:07:19] /a 5
[06/07/2009 16:07:56] /c seu madruga
[06/07/2009 16:08:06] /c seu madruga
[06/07/2009 16:08:11] /c seu madruga
[06/07/2009 16:08:16] /up
[06/07/2009 16:08:18] /c seu madruga
[06/07/2009 16:08:27] /t
[06/07/2009 16:08:29] /c seu madruga
[06/07/2009 16:08:36] /a 20
[06/07/2009 16:08:39] /c seu madruga
[06/07/2009 16:08:45] /a 
[06/07/2009 16:09:04] /c seu madruga
[06/07/2009 16:09:08] /up
[06/07/2009 16:09:10] /c seu madruga
[06/07/2009 16:09:11] /up
[06/07/2009 16:09:14] /c seu madruga
[06/07/2009 16:11:11] /c pally foda
[06/07/2009 16:11:43] /c pally foda
[06/07/2009 16:12:09] /t
[06/07/2009 16:12:29] /a 20
[06/07/2009 16:12:37] /a 20
[06/07/2009 16:12:49] /a 20
[06/07/2009 16:12:58] /a 20
[06/07/2009 16:15:42] /t
[06/07/2009 16:16:11] /a 20
[06/07/2009 16:16:15] /a 20
[06/07/2009 16:16:18] /ghost
[06/07/2009 16:16:29] /a 20
[06/07/2009 16:16:34] /a 20
[06/07/2009 16:16:41] /a 20
[06/07/2009 16:16:48] /a 20
[06/07/2009 16:17:01] /a 20
[06/07/2009 16:17:13] /a 5
[06/07/2009 16:17:22] /a 2
[06/07/2009 16:17:26] /c Dioguito
[06/07/2009 16:17:33] /m exp bug
[06/07/2009 16:17:44] /m exp bug
[06/07/2009 16:17:53] /m exp bug
[06/07/2009 16:18:06] /t
[06/07/2009 16:18:11] /c Dioguito
[06/07/2009 16:19:08] /goto Dioguito
[06/07/2009 16:19:34] /i blessed shield
[06/07/2009 16:19:55] /i soft boots
[06/07/2009 16:19:59] /t
[06/07/2009 16:20:46] /c Dioguito
[06/07/2009 16:20:57] /c Dioguito
[06/07/2009 16:21:27] /a 10
[06/07/2009 16:21:32] /a 10
[06/07/2009 16:21:41] /ghost
